gsm,patient,timepoint,mirna_names,expression
GSM1688461,L,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59400834 1.99037306 2.08651468 ... 1.21580106 2.36722225 0.82402211]
GSM1688462,L,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76574729 2.43270467 2.72151567 ... 1.37180008 3.57394294 1.44226836]
GSM1688463,M,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.34521672 2.47326955 2.56785142 ... 1.01117856 3.28370405 1.48499578]
GSM1688464,M,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.62354906 2.14665611 1.95256467 ... 1.2053922  3.31206094 1.33446632]
GSM1688465,M,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.45526616 3.10774407 2.12497124 ... 1.35860427 3.00493342 1.12624427]
GSM1688466,M,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.86034159 2.25786297 2.58204301 ... 1.09237922 3.26482009 1.22086863]
GSM1688467,M,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59996153 2.07746773 2.53713465 ... 1.45383373 3.59854947 0.69264964]
GSM1688468,M,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.10725739 1.99400771 1.8420913  ... 1.46948016 2.63790378 0.77329432]
GSM1688469,M,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.49690485 2.06719358 2.28075961 ... 1.39178922 3.35395245 1.50163679]
GSM1688470,M,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76084638 2.35392126 2.23816294 ... 1.19350666 3.935522   1.23653702]
GSM1688471,N,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.19075681 2.22392031 2.39301935 ... 1.50290198 2.53491992 1.42330463]
GSM1688472,N,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64668802 2.19882081 2.4650291  ... 1.46856595 3.00349346 1.57931089]
GSM1688473,N,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.18036288 1.95603087 2.43862243 ... 1.1755623  2.84420209 1.19938755]
GSM1688474,N,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.47726502 2.05941966 2.76740204 ... 1.10565962 2.04785833 1.52953419]
